nota_id,target,version,active,type,subtype,texto_nota
n-1-1,#seg-1-1,1,true,realia,,<term>Maestre</term> era el cargo más alto de una orden militar.
n-2-1,#seg-2-1,1,true,geografica,,"Debe referirse a la villa de Almagro, donde se situaba el convento y palacio de la Orden de Calatrava y el inicio de la acción."
n-3-1,#seg-3-1,1,true,lexica,,<term>grave:</term> ‘circunspecto’.
n-5-1,#seg-5-1,1,true,historica,,<term>Fernán Gómez de Guzmán:</term> personaje histórico mencionado en las crónicas históricas en que se basó Lope de Vega para esta obra.
n-7-1,#l-7,1,true,parafrasis,,‘Y si no supiera mi nombre’.
n-9-1,#seg-9-1,1,true,realia,,<term>Comendador Mayor</term> era el segundo cargo más importante de una orden militar.
n-14-1,#seg-14-1,1,true,lexica,,<term>abrir la voluntad:</term> ‘ganarse el afecto’.
n-20-1,#l-20,1,true,parafrasis,,"Entiéndase ‘la boca del descortés a sus pies’, es decir, ‘hacerle daño’ o ‘afrentarlo’."
n-23-1,#l-23,1,true,parafrasis,,‘¡Qué pesado es soportarlo!’.
n-25-1,#l-25 #l-26 #l-27 #l-28,1,true,parafrasis,,"Es decir, si el superior es descortés con un súbdito, es peor que necio, casi un tirano."
n-29-1,#l-29 #l-30 #l-31,1,true,parafrasis,,"Flores aconseja al Comendador no ofenderse, pues el Maestre es muy joven y no sabe aún hacerse amar y respetar por sus inferiores."
n-32-1,#l-32 #l-33 #l-34,1,true,realia,,El ingreso en la orden (al ceñir su espada y lucir su cruz en el pecho) obliga a sus miembros a mantener un comportamiento cortés. Cada orden tenía una cruz distintiva; la de Calatrava era de color rojo (se alude a ello en vv. 131-137).
n-43-1,#seg-43-1,1,true,lexica,,<term>agora:</term> forma antigua de ‘ahora’; nueva: ‘noticia’.
n-46-1,#seg-46-1,1,true,lexica,estilistica,"<term>el amor y la crïanza:</term> ‘el afecto y la cortesía, el respeto’. La diéresis indica que debe separarse el diptongo: cri | an | za (como en los versos 159: «crïados»; 194: «fïadas»; 273: «fïarse», y otros)."
n-52-1,#seg-52-1,1,true,lexica,,"<term>Seguro:</term> ‘ajeno, desprevenido’."
n-56-1,#l-56 #l-57 #l-58 #l-59-a,1,true,parafrasis,historica,"‘pues he arriesgado por vos la vida en tantos conflictos hasta que el Papa os permitió acceder al cargo a pesar de vuestra corta edad’. Como se dirá a continuación, Rodrigo Téllez Girón accedió al maestrazgo a los ocho años."
n-72-1,#seg-72-1,1,true,lexica,,"<term>claro:</term> ‘ilustre, insigne’."
n-69-1,#l-69 #l-70 #l-71 #l-72 #l-73 #l-74 #l-75 #l-76 #l-77 #l-78 #l-79 #l-80 #l-81 #l-82 #l-83,1,true,historica,,"Rodrigo Téllez Girón recibe siendo niño el maestrazgo al renunciar su padre, Pedro Girón, en 1464. Para ser efectiva la renuncia del padre y el nombramiento del hijo fueron necesarias las aprobaciones (bulas) de los papas Pío II y Paulo II, que nombró a don Juan Pacheco, Duque de Escalona, tutor de su sobrino Rodrigo desde entonces hasta 1474."
n-88-1,#seg-88-1,1,true,lexica,,<term>aqueste</term> es forma arcaica de ‘este’.
n-89-2,#seg-89-1,1,true,parafrasis,historica,"‘tomar el mismo partido que tus familiares’, es decir, oponerse a los Reyes Católicos, como se explica a continuación."
n-90-1,#l-90 #l-91 #l-92 #l-93 #l-94,1,true,historica,,"La sucesión de Enrique IV de Castilla fue conflictiva. Se disputaron el trono el rey don Alonso de Portugal , casado con Juana «la Beltraneja» (hija de Enrique IV) y Fernando de Aragón, casado con Isabel (hermanastra del mismo). En 1475 Alonso invade Castilla, al año siguiente es derrotado en la Batalla de Toro y la guerra termina en 1479."
n-98-1,#seg-98-99-a #seg-98-99-b,1,true,parafrasis,,‘las pretensiones de Fernando no son tan legítimas para vuestros familiares’.
n-101-1,#seg-101-1,1,true,historica,,Los partidarios de Isabel y Fernando cuestionaban que Juana fuera efectivamente hija de Enrique IV apodado «el Impotente»; ella era apodada «la Beltraneja» insinuando que en realidad era hija del cortesano Beltrán de la Cueva.
n-102-1,#seg-102-1,1,true,historica,,"<term>vuestro primo hermano</term> alude a Diego López Pacheco, II Marqués de Villena, defensor de los derechos sucesorios de Juana."
n-110-1,#seg-110-1,1,true,lexica,,"<term>mirar</term> en el sentido de ‘vigilar, controlar’ ambos reinos."
n-118-1,#seg-118-1,1,true,lexica,,"<term>niño:</term> ‘joven’; uso medieval, sin sentido despectivo."
n-119-1,#seg-119-1,1,true,estilistica,,"<term>cruz</term> con doble sentido, ‘cruz de Calatrava’ y ‘una gran carga’."
n-122-1,#seg-122-1,1,true,lexica,historica,"<term>quien</term> tiene sentido plural, se refiere a los condes de Urueña, linaje de don Rodrigo."
n-125-1,#seg-125-1,1,true,historica,,"<term>Marqueses de Villena</term>: el tío de don Rodrigo, Juan Pacheco, I Marqués de Villena, y el sucesor de éste arriba aludido (v. 102), don Diego."
n-127-1,#seg-127-1,1,true,mitologica,,<term>La Fama</term> era representada iconográficamente como una dama alada que tocaba una trompeta.
n-138-1,#l-138 #l-139 #l-140,1,true,estilistica,,"<term>Girón</term> juega también con jirón, ‘trozo rasgado de tela’ y capa, que asimismo alude a don Rodrigo como protector de la fama de sus antepasados."
n-142-1,#seg-142-1,1,true,lexica,,"<term>parcialidad</term>: ‘facción, bando’."
n-145-1,#l-145 #l-146,1,true,parafrasis,,"‘Y si se opone Ciudad Real a mis propósitos, como lugar estratégico que es…’."
n-151-1,#seg-151-1,1,true,ecdotica,,"La lengua del Siglo de Oro vacilaba al representar gráficamente algunos sonidos y grupos consonánticos cultos. Unas veces simplificaba según la pronunciación y otras respetaba el origen etimológico de las palabras: «efeto» (v. 40), «decienden» (v. 255), «ignorante» (v. 297), «satisfación» (v. 440), «esperiencia» (v. 442), «exceso» (v. 719), «accidente» (v. 1098), «desinios» (v. 1458), «solenemente» (v. 2270), etc."
n-155-1,#seg-155-1,1,true,lexica,ecdotica,"La palabra <term>color</term> era femenino en la época, como hoy en varias lenguas romances."
n-157-1,#seg-157-1,1,true,lexica,,<term>a donde</term>: ‘en donde’.
n-159-1,#l-159 #l-160 #l-161,1,true,parafrasis,,"‘Pocos, pero como criados míos, muy fieles’."
n-160-1,#seg-160-1,1,true,lexica,ecdotica,"<term>dellos</term>: ‘de ellos’. La contracción de preposiciones y pronombres o artículos es uno de los rasgos de la lengua del Siglo de Oro (otros casos en v. 186: «desta»; vv. 328 y 602: «esotro/a»; v. 1182: «déste», etc.)."
n-166-1,#l-166-a #l-167 #l-168,1,true,parafrasis,realia,"Es decir, ‘ahí he situado la casa o sede de mi encomienda’. La encomienda era una concesión y dignidad que se otorgaba a algunos caballeros, consistente en determinadas propiedades, territorios y rentas."
n-168-1,#seg-168-1,1,true,lexica,,<term>mudanzas</term>: ‘tiempos inestables’.
n-170-1,#seg-170-1,1,true,parafrasis,,‘nadie quedará sin ir a luchar a Ciudad Real’.
n-172-1,#seg-172-1,1,true,realia,,<term>ristre</term>: pieza metálica donde se apoya la lanza verticalmente.
n-172Acot-1,#seg-172Acot-1,1,true,escenica,,El tablado ha quedado vacío (Vanse y salen…) y debe entenderse que la acción se traslada ahora a Fuenteovejuna.
n-173-1,#l-173,1,true,parafrasis,,‘Ojalá nunca hubiera vuelto’.
n-174-1,#seg-174-1,1,true,lexica,estilistica,"<term>a la he</term>: ‘a fe mía’; la sustitución de f- inicial por h- aspirada, es uno de los rasgos de habla rústica con que se caracteriza a los labradores (como en vv. 220: «huego»; 600 y 609: «huera»)."
n-177-1,#seg-177-1,1,true,lexica,,"<term>Plega</term>: ‘Plazca, guste’."
n-182-1,#seg-182-1,1,true,lexica,estilistica,<term>brando</term>: ‘blando’ (la sustitución l > r es también rasgo de habla rústica).
n-184-1,#seg-184-1,1,true,lexica,,<term>condición</term>: ‘carácter’.
n-189-1,#seg-189-1,1,true,lexica,,"<term>A qué efeto</term>: ‘A qué efecto, con qué propósito’."
n-192-1,#l-192,1,true,parafrasis,,"‘Por tanto me niego a aceptar esa deshonra’, es decir, las relaciones con el Comendador fuera del matrimonio."
n-199-1,#seg-199-1,1,true,parafrasis,,‘hace un mes que me sigue’.
n-203-1,#seg-203-1,1,true,realia,,<term>un jubón</term>: ‘un chaleco'.
n-204-1,#seg-204-1,1,true,realia,,<term>una sarta</term>: ‘un collar’.
n-204-2,#seg-204-2,1,true,realia,,<term>un copete</term>: ‘un adorno de pelo postizo’.
n-209-1,#l-209,1,true,parafrasis,,‘para vencer mi voluntad’.
n-211-1,#seg-211-1,1,true,lexica,,<term>habrá</term>: ‘hará’.
n-214-1,#l-214-b,1,true,parafrasis,,"<term>‘a quién, sino a ti’</term>; es una frase coloquial, con sentido irónico o burlesco."
n-215-1,#l-215 #l-216,1,true,lexica,estilistica,"<term>polla</term> en doble sentido: ‘niña, joven’, pero también ‘carne de pollo’, demasiado dura (por su fuerte carácter) para el Comendador, al que se alude irónicamente con el trato de reverencia."
n-217-1,#seg-217-1,1,true,lexica,,<term>precio</term>: ‘me gusta’.
n-219-1,#seg-219-1,1,true,realia,,"<term>lunada</term>: ‘jamón, pata cerdo’."
n-221-1,#seg-221-1,1,true,realia,,"<term>zalacatón</term>: al parecer, ‘trozo grande’."
n-224-1,#seg-224-1,1,true,realia,,<term>pegado cangilón</term>: jarra de agua impermeabilizada.
n-226-1,#l-226 #l-227 #l-228,1,true,parafrasis,,"Es decir, prefiere comer un espumoso cocido de vaca con verdura."
n-233-1,#l-233 #l-234 #l-235,1,true,parafrasis,,<term>$1</term> ‘merienda de un racimo de uvas’.
n-237-1,#seg-237-1,1,true,realia,,El salpicón es un plato de carne desmenuzada y aliñada.
n-240-1,#seg-240-1,1,true,lexica,,"<term>Inducas tentación</term>: deformación rústica de <em>Et ne nos inducas in tentationem</em>, palabras finales del Padre nuestro en latín."
n-241-1,#seg-241-1,1,true,lexica,estilistica,"<term>rezalle</term>: ‘rezarle’, con asimilación propia de la lengua literaria del Siglo de Oro (otros casos en vv. 1072: «visitalla»; 1214: «guardalla»)."
n-242-1,#l-242 #l-243 #l-244,1,true,parafrasis,,"Recuérdese el inicio de este fragmento comparativo (v. 217): Laurencia aprecia más todas las típicas comidas campestres que ha mencionado que las raposerías (‘astucias, engaños’) y porfías (‘insistencias’) amorosas de jóvenes bellacones como el Comendador."
n-245-1,#seg-245-1,1,true,parafrasis,,"<term>todo su cuidado</term>: ‘su única preocupación, su solo interés’."
n-247-1,#seg-247-1,1,true,lexica,,gusto alude aquí al acto sexual.
n-259-1,#seg-259-1,1,true,lexica,,"<term>luego</term>: ‘en cuanto, inmediatamente’ (es el significado habitual en la época)."
n-264-1,#seg-264-1,1,true,parafrasis,estilistica,"Los gorriones, interesados, llaman al villano diciéndole afectuosamente tío, tío (por homofonía con «pío, pío»), pero luego, desagradecidos, lo insultan (judío, judío). La comparación del comportamiento del gorrión con el de los desagradecidos amantes es muy oportuna, pues esta ave es símbolo de lujuria; comer (v. 257) también podría tener sentido erótico."
n-269-1,#seg-269-1,1,true,lexica,estilistica,Entiéndase <term>ascuas</term> con doble sentido: ‘incertidumbre’ y ‘apetito sexual’.
n-272-1,#seg-272-1,1,true,lexica,,"<term>el nombre de las Pascuas</term>: ‘el insulto’, es frase hecha; se insulta a las mujeres como a los judíos, del mismo modo que se solía hacer en la celebración de la Pascua."
n-275-1,#seg-275-1,1,true,lexica,,"<term>diferencia</term>: ‘disputa, contienda’."
n-279-1,#seg-279-1,1,true,lexica,,<term>concierto</term>: ‘acuerdo’.
n-281-1,#seg-281-1,1,true,lexica,,"<term>juzgan por mí</term>: ‘sentencian, deciden a mi favor’."
n-283-1,#seg-283-1,1,true,lexica,,<term>precio</term>: ‘premio’.
n-286-1,#seg-286-1,1,true,realia,,<term>rabel</term>: instrumento musical pastoril de tres cuerdas que se hacen sonar con un arco; boj: un tipo de madera.
n-287-1,#seg-287-1,1,true,realia,,<term>troj</term>: ‘granero’.
n-292-1,#seg-292-1,1,true,lexica,intertextual,"<term>al uso</term>: ‘a la moda’. El fragmento que aquí inicia sigue un tópico en que se satiriza la hipocresía, eufemismos, y manipulaciones del lenguaje, así como la inversión y confusión de valores de la corte, frente a los más auténticos de la aldea. Cultivaron este tópico también, por ejemplo, Erasmo y Fray Antonio de Guevara en el siglo XVI (en su tratado Menosprecio de corte y alabanza de aldea) o Quevedo en el siglo XVII."
n-294-1,#seg-294-1,1,true,lexica,,<term>bisojo</term>: ‘estrábico’.
n-298-1,#seg-298-1,1,true,parafrasis,,El desaliño y la descortesía se disculpan por el presunto ejercicio de las armas (soldadesca).
n-305-1,#seg-305-1,1,true,lexica,,<term>parapoco</term>: persona de corto ingenio o apocada.
n-306-1,#l-306,1,true,parafrasis,,"‘al osado, valiente’."
n-307-1,#seg-307-1,1,true,lexica,,"<term>jarro</term>: ‘necio, grosero’."
n-313-1,#l-313,1,true,realia,,Las bubas o granos de la sífilis se hacían pasar por síntomas de resfriado.
n-316-1,#seg-316-1,1,true,lexica,,<term>corcovado</term>: ‘jorobado’.
n-317-1,#l-317 #l-318,1,true,parafrasis,,"Tal vez deba entenderse ‘esto imito, al llamaros damas’."
n-330-1,#seg-330-1,1,true,lexica,,"<term>descompuesto</term>: ‘desventurado, desgraciado, depuesto’."
n-331-1,#seg-331-1,1,true,lexica,,"<term>compuesto</term>: ‘mesurado, circunspecto’"
n-334-1,#l-334,1,true,parafrasis,,‘generoso al despilfarrador o manirroto’.
n-336-1,#seg-336-1,1,true,lexica,,"<term>madeja</term>: ‘flojo, pusilánime’."
n-349-1,#seg-349-1,1,true,estilistica,lexica,"<term>dimuño</term>: ‘demonio’, en la forma propia del sayagués o habla rústica."
n-350-1,#seg-350-1,1,true,estilistica,lexica,"<term>Soncas</term>: es una expresión rústica de énfasis, ‘en verdad, ciertamente’."
n-351-1,#l-351 #l-352,1,true,estilistica,,"Juego con el doble sentido de <term>sal</term> (también ‘gracia, agudeza’) y la alusión a la ceremonia del bautizo."
n-359-1,#seg-359-1,1,true,lexica,,"<term>discreción</term>: ‘sabiduría, inteligencia’."
n-364-1,#l-364-b #l-365,1,true,parafrasis,,"‘Vengo a negarlo, porque es verdad lo que yo digo’."
n-366-1,#seg-366-1,1,true,lexica,,hay: ‘existe’; así también en los siguientes versos.
n-367-1,#l-367,1,true,parafrasis,,"‘Afirmarlo así, en general, es excesivo’."
n-369-1,#l-369 #l-370,1,true,intertextual,,"Comienza aquí una discusión sobre el amor, basada principalmente en nociones del pensamiento de Platón, que será mencionado hacia el final. Se trata de una situación típica de la literatura pastoril del siglo XVI, aunque acentuando aquí los rasgos rústicos de los personajes. Barrildo inicia recordando la idea de que el amor es el vínculo del mundo, lo que le da unidad y coherencia al universo."
n-373-1,#l-373 #l-374 #l-375 #l-376 #l-377 #l-378,1,true,intertextual,,"Mengo entiende hacia donde dirige Barrildo el debate, y responde con otras ideas muy importantes de la cosmovisión y la medicina antiguas para afirmar su punto (‘claro está lo que he dicho’): que todo el universo creado se rige por principios de oposición, y que esto influye en cada persona a través de los cuatro humores corporales asociados a los elementos (cólera... sangre)."
n-381-1,#l-381 #l-382,1,true,intertextual,,"Una idea también muy difundida en los debates medievales sobre la constitución del mundo: la armonía, el buen orden (concierto) rige ambos mundos, cielo y tierra."
n-383-1,#l-383 #l-384 #l-385 #l-386 #l-387 #l-388 #l-389 #l-390 #l-391 #l-392,1,true,intertextual,,"Mengo acepta la teoría de la armonía universal utilizada por Barrildo (correspondencias), y también la existencia de un tipo de amor, el natural, que a continuación asocia con la teoría de los humores que ya recordó, y que identifica con la necesidad de conservación, el mantenimiento de la propia vida."
n-406-1,#seg-406-407-a #seg-406-407-b,1,true,parafrasis,,Entiéndase ‘ama a su semejante’.
n-409-1,#l-409-a #l-409-b #l-410-a #l-410-b #l-411 #l-412-a,1,true,intertextual,,"También son de origen clásico las ideas sobre el amor como búsqueda de la belleza, y el placer que ella produce."
n-420-1,#l-420,1,true,parafrasis,,"Es decir, ‘darme gusto en todo’."
n-421-1,#l-421 #l-422 #l-423 #l-424 #l-425 #l-426,1,true,intertextual,,"En esta mención del filósofo, se recuerdan, para terminar el debate, dos conceptos fundamentales de su pensamiento: el alma y la virtud. Es gracioso, por absurdo, suponer que un cura va a citar a Platón en sus sermones."
n-428-1,#seg-428-1,1,true,parafrasis,,"Al decir que esto sucede por ventura, ‘acaso’ ‘casualmente’, Pascuala introduce una ligera burla a las discusiones eruditas."
n-428-2,#seg-428-429-a #seg-428-429-b,1,true,lexica,estilistica,"acrisola los caletres: metáfora burlesca, ‘mejora los entendimientos’."
n-430-1,#seg-430-1,1,true,estilistica,lexica,"cademias: ‘academias’, forma rústica jocosa."
n-431-1,#seg-431-432-a #seg-431-432-b,1,true,parafrasis,,‘No te molestes en disuadirlos de sus insensateces’. Se refiere seguramente a la discusión de los pastores.
n-437-1,#seg-437-1,1,true,estilistica,lexica,"quistión: ‘cuestión’ ‘tema’; en la época es forma regular, sin sentido burlesco."
n-444-1,#seg-444-1,1,true,parafrasis,,"Es decir, con ese rechazo (desdén), en realidad Laurencia resuelve que no hay amor."
n-447-1,#seg-447-1,1,true,realia,estilistica,"Con lo de azor, Laurencia alude seguramente a la abundancia de plumas en la vestimenta de Flores, que eran un adorno de los trajes de soldado (como se dice también en v. 494). Como es un ave de caza, también puede tratarse de una alusión metafórica al carácter del Comendador, señor de Flores."
n-452-1,#seg-452-1,1,true,lexica,,puesto que: ‘aunque’.
n-457-1,#l-457,1,true,historica,,"Lope se inspira en la Crónica de Rades y Andrada, incluso en cuestiones de detalle, para describir esta batalla."
n-461-1,#seg-461-1,1,true,lexica,realia,"infantes: ‘soldados de a pie, de infantería’."
